source_id,citation,role,confidence
A1,"LSTM denoising autoencoder + Isolation Forest for NPP sensor anomaly detection, validated on KALBR-SIM (PFBR simulator). IEEE Sensors Letters / IEEE Xplore, 2024.",related work - baseline pattern (simulator-generated training data precedent),high
A2,"Dual attention-based LSTM autoencoder for explainable unsupervised anomaly detection and temporal localization in reactor radiation-monitoring time series. arXiv preprint, Sept. 2025.",related work - near-neighbor interpretability paper,medium (preprint)
A3,"Temporal-Spatial Transformer for asynchronous multivariate time series anomaly detection in nuclear power plants. PMC / peer-reviewed journal article.",related work - transformer/graph baselines in NPP MTS AD,high
A4,"LSTM-AE with Mahalanobis-distance residual scoring and KDE-based thresholds for power-plant equipment anomaly detection. PMC, 2020.",related work - normal-behavior-model + residual scoring template,high
A5,"Autoencoder + random forest for NPP sensor fault detection and localization. ScienceDirect, 2025.",related work - sensor-level fault localization framing,high
A6,"Transformer + Grey Wolf Optimizer + Boosting (TGB) with SHAP-based interpretability for IIoT anomaly detection. Scientific Reports, Nov. 2025.",related work - SHAP + transformer methodological template,medium (very recent)
A7,"Variable Temporal Transformer (VTT): temporal + inter-variable self-attention with anomaly interpretation module, verified on synthetic and real industrial data. Knowledge-Based Systems, 2024.",related work - closest analog for transformer + interpretability arm,high
A8,"Review of explainable AI methods for industrial fault detection and diagnosis (XAI taxonomy, SHAP/GradCAM prevalence). Knowledge-Based Systems review, 2024.",related work - XAI framing / justifies SHAP as primary method,high
A9,"TiTAD: GRU + Transformer hybrid with component-level ablation analysis on industrial control-system datasets. MDPI, March 2025.",related work - ablation reporting precedent,medium (recent)
A10,"Graph Attention Network + Informer for MTS anomaly detection with localization, evaluated on SWaT/WADI. Open-access journal article.",related work - localization/interpretability baseline (GAT excluded from implementation scope),high
A11,"AI-driven cybersecurity testbed for nuclear infrastructure: 300-experiment comparison of change-point detection, LSTM-AD, dependency-violation, and autoencoder methods on METL data. arXiv, Dec. 2025.",related work - structural precedent for engineering-axis comparison table,medium (very recent)
B1,"Simplified analysis of the Chernobyl accident: 1D 1-group axial simulations incorporating xenon poisoning and RBMK core-stability analysis. EPJ Nuclear Sciences & Technologies, 2021 (open access, peer-reviewed).",simulator component - RBMK structure / xenon-stability framework,high
B2,"Six-delayed-neutron-group point kinetics + thermal-hydraulics Simulink model for TRIGA reactor with SPND feedback control. Penn State University MS thesis.",simulator component - six-group PK implementation template,medium (thesis, not journal-reviewed)
B3,"Six-group point kinetics model with Doppler/graphite-temperature feedback for graphite-moderated next-generation reactor, Pade-approximation numerics. ScienceDirect, 2016.",simulator component - graphite-moderated six-group PK reference (no void coefficient),high
B4,"Numerical simulation of non-steady-state neutron kinetics for TRIGA Mark II Vienna, with explicit I-135/Xe-135 balance equations. arXiv preprint.",simulator component - Xe-135/I-135 coupling equations,medium (preprint, derivation widely standard)
B5,"Computational modeling of the Unit 4 accident. Atomic Energy (Springer), peer-reviewed.",cross-validation - case study digitization,high
B6,"Multidimensional simulations of the Chernobyl accident, incl. xenon reactivity distribution and power-transient cases with/without void-reactivity suppression. OECD-NEA / NEACRP report, 1987.",calibration / cross-validation - void/xenon reactivity magnitudes,high
B7,"RELAP5/MOD2 reconstruction of the Unit 4 transient from 01:19:00, incl. void fraction, fuel/graphite temperature, automatic-regulator rod position. ScienceDirect, 1988.",cross-validation - case study trajectory (NOT a training simulator),high
B8,"INIS record on Chernobyl neutronics: average core void coefficient (~0.03 / ~0.3 mk per pct void, higher near core axis) and graphite-displacer positive-scram mechanism.",calibration - void-coefficient magnitude/sign,medium (INIS record)
B9,"World Nuclear Association RBMK appendix and general void-coefficient background, incl. commonly cited pre-accident ~4.7 beta value (reduced to ~0.7 beta post-modification).",background / parameter sourcing - void coefficient and ORM framing,high
